Data;PTAX;DOLF20;CALLDOLFN963000;TTM
06/12/2019;4.178;4153.67;1150;17
05/12/2019;4.2133;4188.79;1184.83;18
04/12/2019;4.1923;4201.14;1196.99;19
03/12/2019;4.2005;4210.41;1206.06;20
02/12/2019;4.2258;4221.8;1217.22;21
29/11/2019;4.2237;4235.1;1230;22
28/11/2019;4.2477;4224.2;1218.97;23
27/11/2019;4.2599;4261.07;1255.5;24
26/11/2019;4.2556;4255.37;1249.66;25
25/11/2019;4.2086;4218.98;1213.29;26
22/11/2019;4.1829;4197.31;1191.28;27
21/11/2019;4.2009;4149.8;1143.78;28
19/11/2019;4.2081;4191.42;1184.89;29
18/11/2019;4.1824;4149.8;1143.36;30
14/11/2019;4.1828;4149.8;1142.81;31
13/11/2019;4.1764;4149.8;1142.67;32
12/11/2019;4.1753;4149.8;1142.54;33
11/11/2019;4.1556;4149.8;1142.4;34
08/11/2019;4.1362;4090.75;1083.3;35
07/11/2019;4.0924;4090.75;1083.17;36
06/11/2019;4.0348;4090.75;1083.05;37
05/11/2019;4.004;3999.13;991.94;38
04/11/2019;3.9919;4021.24;1013.75;39
01/11/2019;3.9783;4006.06;998.33;40
31/10/2019;4.0038;;;
30/10/2019;4.0183;;;
29/10/2019;3.9943;;;
28/10/2019;3.97895;;;
25/10/2019;4.013;;;
24/10/2019;4.0086;;;
23/10/2019;4.0718;;;
22/10/2019;4.0855;;;
21/10/2019;4.1316;;;
18/10/2019;4.1373;;;
17/10/2019;4.14545;;;
16/10/2019;4.1711;;;
15/10/2019;4.1485;;;
14/10/2019;4.126;;;
11/10/2019;4.1057;;;
10/10/2019;4.1142;;;
09/10/2019;4.0951;;;
08/10/2019;4.0865;;;
07/10/2019;4.0685;;;
04/10/2019;4.0607;;;
03/10/2019;4.1009;;;
02/10/2019;4.1543;;;
01/10/2019;4.1737;;;
30/09/2019;4.1641;;;
27/09/2019;4.1584;;;
26/09/2019;4.1466;;;
25/09/2019;4.1824;;;
24/09/2019;4.1718;;;
23/09/2019;4.1731;;;
20/09/2019;4.1684;;;
19/09/2019;4.139;;;
18/09/2019;4.0969;;;
17/09/2019;4.0995;;;
16/09/2019;4.0869;;;
13/09/2019;4.0613;;;
12/09/2019;4.0491;;;
11/09/2019;4.0628;;;
10/09/2019;4.1105;;;
09/09/2019;4.0763;;;
06/09/2019;4.0647;;;
05/09/2019;4.0856;;;
04/09/2019;4.1246;;;
03/09/2019;4.1654;;;
02/09/2019;4.1578;;;
30/08/2019;4.1382;;;
29/08/2019;4.1677;;;
28/08/2019;4.1556;;;
27/08/2019;4.1554;;;
26/08/2019;4.1364;;;
23/08/2019;4.0848;;;
22/08/2019;4.0441;;;
21/08/2019;4.0251;;;
20/08/2019;4.0422;;;
19/08/2019;4.0271;;;
16/08/2019;3.993;;;
15/08/2019;4.0185;;;
14/08/2019;4.0071;;;
13/08/2019;3.9733;;;
12/08/2019;3.9963;;;
09/08/2019;3.9359;;;
08/08/2019;3.9406;;;
07/08/2019;3.9847;;;
06/08/2019;3.964;;;
05/08/2019;3.9401;;;
02/08/2019;3.8736;;;
01/08/2019;3.8293;;;
31/07/2019;3.7646;;;
30/07/2019;3.7897;;;
29/07/2019;3.7906;;;
